id,period_id,number,color,scraped_at
6204,20250826100011384,5,VIOLET,2025-08-26 23:04:08.56133+00
6205,20250826100011385,0,VIOLET,2025-08-26 23:05:11.314773+00
6206,20250826100011386,0,VIOLET,2025-08-26 23:06:14.14935+00
6207,20250826100011387,9,GREEN,2025-08-26 23:07:16.900988+00
6208,20250826100011388,2,RED,2025-08-26 23:08:19.647918+00
6209,20250826100011389,5,VIOLET,2025-08-26 23:09:22.38395+00
6210,20250826100011390,4,RED,2025-08-26 23:10:25.174146+00
6211,20250826100011391,0,VIOLET,2025-08-26 23:11:27.963339+00
6212,20250826100011392,9,GREEN,2025-08-26 23:12:30.685106+00
6213,20250826100011393,1,GREEN,2025-08-26 23:13:33.507548+00
6214,20250826100011394,0,VIOLET,2025-08-26 23:14:36.186463+00
6215,20250826100011395,0,VIOLET,2025-08-26 23:15:39.28452+00
6216,20250826100011396,1,GREEN,2025-08-26 23:16:42.120875+00
6217,20250826100011397,6,RED,2025-08-26 23:17:44.901355+00
6218,20250826100011398,9,GREEN,2025-08-26 23:18:47.672304+00
6219,20250826100011399,6,RED,2025-08-26 23:19:50.549042+00
6220,20250826100011400,8,RED,2025-08-26 23:20:53.409528+00
6221,20250826100011401,1,GREEN,2025-08-26 23:21:56.192439+00
6222,20250826100011403,9,GREEN,2025-08-26 23:22:58.991333+00
6223,20250826100011402,4,RED,2025-08-26 23:22:58.991356+00
6224,20250826100011404,3,GREEN,2025-08-26 23:24:02.075557+00
6225,20250826100011405,5,VIOLET,2025-08-26 23:25:04.832785+00
6226,20250826100011406,5,VIOLET,2025-08-26 23:26:07.703112+00
6227,20250826100011407,4,RED,2025-08-26 23:27:10.50026+00
6228,20250826100011408,5,VIOLET,2025-08-26 23:28:13.151346+00
6229,20250826100011409,0,VIOLET,2025-08-26 23:29:15.945325+00
6230,20250826100011410,0,VIOLET,2025-08-26 23:30:18.799477+00
6231,20250826100011411,8,RED,2025-08-26 23:31:21.500141+00
6232,20250826100011412,5,VIOLET,2025-08-26 23:32:24.205572+00
6233,20250826100011413,5,VIOLET,2025-08-26 23:33:26.859098+00
6234,20250826100011414,7,GREEN,2025-08-26 23:34:29.589179+00
6235,20250826100011415,8,RED,2025-08-26 23:35:32.30245+00
6236,20250826100011416,9,GREEN,2025-08-26 23:36:35.007637+00
6237,20250826100011417,7,GREEN,2025-08-26 23:37:37.771816+00
6238,20250826100011418,4,RED,2025-08-26 23:38:40.438055+00
6239,20250826100011419,1,GREEN,2025-08-26 23:39:43.165929+00
6240,20250826100011420,3,GREEN,2025-08-26 23:40:45.796228+00
6241,20250826100011421,5,VIOLET,2025-08-26 23:41:48.539571+00
6242,20250826100011422,9,GREEN,2025-08-26 23:42:51.271767+00
6243,20250826100011423,6,RED,2025-08-26 23:43:54.208629+00
6244,20250826100011424,9,GREEN,2025-08-26 23:44:56.899554+00
6245,20250826100011426,1,GREEN,2025-08-26 23:45:59.709754+00
